"bc","wt","alt","tmp","vel","drop"
0.462,168,220,33,2600,-85.82
0.508,185,220,33,2600,-83.15
0.462,168,220,27,2600,-86.19
0.508,151,180,33,2860,-68.19
0.462,168,180,33,2600,-85.86
0.508,151,220,27,2340,-104.92
0.416,185,200,30,2340,-111.94
0.416,151,180,30,2340,-111.98
0.416,168,220,33,2600,-89.14
0.508,185,220,27,2860,-68.34
0.508,168,180,27,2600,-83.51
0.508,168,200,27,2860,-68.35
0.462,151,220,33,2860,-69.8
0.508,185,220,33,2860,-68.17
0.416,151,180,33,2340,-111.71
0.508,168,180,33,2600,-83.19
0.508,168,220,30,2340,-104.74
0.462,168,200,33,2600,-85.84
0.508,185,200,33,2340,-104.58
0.416,151,180,27,2600,-89.6
